PII nr 0 True entity idx (action) in pool: 0 
 Action 4, score:  2.1159372668729963e-05
 Action 0, score:  2.116613956916678e-05
 Action 3, score:  2.1166465687981274e-05
 Action 1, score:  2.1164205203863924e-05
 Action 3, score:  2.116437021218839e-05
 Action 3, score:  2.116610111053368e-05
 Action 3, score:  2.116637447865547e-05
 Action 1, score:  2.1163188908498603e-05
 Action 3, score:  2.116324243875819e-05
 Action 1, score:  2.1163141874629738e-05
 Action 4, score:  2.1162829788019216e-05
 Action 1, score:  2.116357869194222e-05
 Action 1, score:  2.1163690170007093e-05
 Action 4, score:  2.116384894179646e-05
 Action 3, score:  2.1163390556466766e-05
 Action 5, score:  2.1163501514820382e-05
 Action 2, score:  2.116352464197137e-05
 Action 0, score:  2.1163520224425675e-05
 Action 4, score:  2.1163530358795208e-05
 Action 3, score:  2.1163537634752822e-05
 Action 1, score:  2.116351918500316e-05
 Action 2, score:  2.1163550627534278e-05
 Action 4, score:  2.1163557383780634e-05
 Action 1, score:  2.1163538154464083e-05
 Action 0, score:  2.116352750038329e-05
 Action 1, score:  2.1163531398217727e-05
 Action 3, score:  2.1163539973453487e-05
 Action 5, score:  2.116353581576342e-05
 Action 3, score:  2.1163542572009775e-05
 Action 2, score:  2.1163530358795208e-05
 Action 0, score:  2.116353581576342e-05
 Action 3, score:  2.1163531138362096e-05
 Action 4, score:  2.1163528799661435e-05
 Action 3, score:  2.116354984796739e-05
 Action 1, score:  2.1163528279950178e-05
 Action 3, score:  2.1163534256629646e-05
 Action 0, score:  2.1163528799661435e-05
 Action 1, score:  2.116351892514753e-05
 Action 3, score:  2.116353529605216e-05
 Action 4, score:  2.1163550367678647e-05
 Action 4, score:  2.11635267208164e-05
 Action 5, score:  2.116353867417534e-05
 Action 5, score:  2.116352750038329e-05
 Action 4, score:  2.1163539973453487e-05
 Action 3, score:  2.1163550887389908e-05
 Action 2, score:  2.116353529605216e-05
 Action 0, score:  2.1163522822981967e-05
 Action 1, score:  2.1163523082837594e-05
 Action 3, score:  2.1163539453742226e-05
 Action 1, score:  2.1163540233309114e-05
 Action 4, score:  2.11635391938866e-05
 Action 4, score:  2.116353087850647e-05
 Action 4, score:  2.1163529319372693e-05
 Action 0, score:  2.11635472494111e-05
PII nr 7 True entity idx (action) in pool: 0 
 Action 2, score:  2.0560566554195248e-05
 Action 3, score:  3.68627775060304e-05
 Action 1, score:  2.0409153096677202e-05
 Action 2, score:  2.084915468003601e-05
